Order Date,Discount,Sales,Profit,Sub-Category_Bookcases,Sub-Category_Tables,Region_Central,Region_South,State_Alabama,State_Arizona,State_Arkansas,State_Colorado,State_Connecticut,State_Delaware,State_District of Columbia,State_Florida,State_Georgia,State_Idaho,State_Illinois,State_Indiana,State_Iowa,State_Kansas,State_Kentucky,State_Louisiana,State_Maine,State_Maryland,State_Massachusetts,State_Michigan,State_Minnesota,State_Mississippi,State_Missouri,State_Montana,State_Nebraska,State_Nevada,State_New Hampshire,State_New Jersey,State_New Mexico,State_New York,State_North Carolina,State_Ohio,State_Oklahoma,State_Oregon,State_Pennsylvania,State_Rhode Island,State_South Carolina,State_South Dakota,State_Tennessee,State_Texas,State_Utah,State_Virginia,State_Washington,State_West Virginia,State_Wisconsin,State_Wyoming,Ship Mode_First Class,Ship Mode_Same Day,Ship Mode_Second Class,Segment_Home Office,Year
2016-12-31,0.13665750915750915,36678.715,2828.6715,5,19,20,8,0,3,1,0,1,1,0,0,0,0,2,4,0,1,1,0,0,1,3,2,1,2,0,0,1,0,1,1,0,9,0,2,0,5,2,1,0,0,1,5,0,3,3,0,4,0,14,6,14,8,2016
2017-01-31,0.08111111111111112,5964.032,-39.44019999999996,2,5,10,2,0,0,0,0,0,0,1,1,1,0,1,1,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,3,0,0,2,0,0,0,2,2,9,5,2017
2017-02-28,0.20594871794871794,6866.3374,-199.04210000000003,5,3,6,3,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,2,0,1,2,0,0,0,8,0,4,11,2017
2017-03-31,0.14486666666666667,10893.444800000001,1000.8532,4,5,15,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,5,0,1,1,0,4,0,0,0,0,7,0,1,1,0,3,0,5,2,10,9,2017
2017-04-30,0.18050000000000002,9065.9581,202.4624,7,4,7,13,0,0,0,1,0,0,0,7,2,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,1,1,1,0,0,6,0,1,0,2,2,0,0,2,0,0,0,12,0,6,9,2017
2017-05-31,0.20440000000000003,16957.5582,-72.88289999999998,9,6,14,10,0,1,0,1,0,0,0,3,2,1,4,1,0,0,0,2,0,2,0,3,0,0,0,0,0,0,1,2,0,3,1,2,1,1,4,0,1,0,1,5,0,0,4,0,0,0,11,2,7,7,2017
2017-06-30,0.16181159420289856,19008.5867,904.9956,10,8,13,12,0,1,0,0,2,0,0,3,1,0,6,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,3,3,0,0,0,0,0,0,4,4,0,0,5,0,0,0,9,1,17,14,2017
2017-07-31,0.17365079365079364,11813.021999999999,324.62440000000004,4,7,8,10,0,3,0,0,0,3,0,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,2,2,1,0,6,0,0,1,0,3,0,3,4,0,0,0,6,1,11,6,2017
2017-08-31,0.16865079365079363,15441.874,322.239,3,6,5,6,0,1,0,1,0,0,0,1,0,0,2,1,0,0,0,2,0,3,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,2,2,0,0,4,0,0,0,7,1,13,6,2017
2017-09-30,0.1579017857142857,29028.206000000002,1548.6837,7,9,13,6,0,0,0,3,0,0,0,3,2,0,3,0,0,0,0,0,0,0,1,2,2,0,1,0,0,0,0,2,0,16,0,6,0,2,5,0,0,0,1,5,2,0,5,0,0,0,15,13,16,16,2017
2017-10-31,0.1709488888888889,21884.0682,-2526.9202999999998,7,22,14,14,1,0,0,1,0,0,0,3,0,1,6,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,2,0,6,2,2,2,3,1,4,0,0,5,5,0,1,5,1,0,0,23,6,7,13,2017
2017-11-30,0.1574425287356322,37056.715,406.06370000000004,6,17,23,15,0,3,0,0,0,0,0,3,0,0,3,3,0,0,4,0,0,4,0,2,0,0,1,0,0,0,0,0,1,14,3,3,0,0,8,0,0,0,5,12,0,0,7,0,2,0,15,6,22,24,2017
2017-12-31,0.15378095238095238,31407.466800000002,1146.7548000000002,12,12,21,16,1,3,0,8,3,0,0,4,0,0,8,0,0,0,4,1,0,0,1,3,1,0,0,0,1,1,0,3,0,13,0,2,0,0,10,1,1,0,2,6,0,3,7,0,2,0,15,6,19,16,2017
